Date,Total_Pop,Pop_5_24,Percent_5_24,Median_Age,Male_to_Female_Ratio,Pop_5_24_per1000,RUCA1,Income,Race,NDVI,TAVG,TMIN,TMAX,EHF,RH,Heat_Index,Discomfort_Index,Mental_Health,month,Day,Daily_Difference,TAVG_24hr_diff,TMAX_24hr_diff,TMIN_24hr_diff,Region,log_Total_Pop_per1000
2019-08-29,140723,50559,0.359280288225805,31.7,90.3333333333333,50.559,1,-0.212748982333333,0.265496523,0.4,25.0133333333333,20.1283333333333,29.8983333333333,0,78.995,26,23.79875935,9,8,5,9.77,0.19,0.383333333333333,-0.00166666666666667,3,4.94679341913327
2019-08-30,140723,50559,0.359280288225805,31.7,90.3333333333333,50.559,1,-0.212748982333333,0.265496523,0,22.958,15.882,30.036,0,65.72,23,21.36339468,6,8,6,14.154,-1.246,0.074,-2.566,3,4.94679341913327
2019-08-31,140723,50559,0.359280288225805,31.7,90.3333333333333,50.559,1,-0.212748982333333,0.265496523,0.573333333333333,23.9633333333333,16.4033333333333,31.5266666666667,0,64.6033333333334,24,22.1210346333333,7,8,7,15.1233333333333,0.506666666666667,0.743333333333333,0.271666666666667,3,4.94679341913327
2016-06-01,169921,47975,0.282337086057639,37.96,90.28,47.975,1,-0.1635807756,0.6061945652,0.53,24.3355555555556,22.1711111111111,26.5,0,86.8944444444445,25,23.6259997,9,6,4,4.32888888888889,,,,3,5.13533362315867
2016-06-02,169921,47975,0.282337086057639,37.96,90.28,47.975,1,-0.1635807756,0.6061945652,0.512,24.495,20.57625,28.41125,0,83.25875,25,23.5737421625,8,6,5,7.835,0.08375,1.165,-0.99875,3,5.13533362315867
2016-06-03,169921,47975,0.282337086057639,37.96,90.28,47.975,1,-0.1635807756,0.6061945652,0.452,26.2157142857143,21.53,30.9014285714286,0,75.35,27.8571428571429,24.6256198928571,10,6,6,9.37142857142857,1.24,1.79,0.69,3,5.13533362315867
2016-06-04,169921,47975,0.282337086057639,37.96,90.28,47.975,1,-0.1635807756,0.6061945652,0.508,27.5025,22.925,32.0775,0,73.955,30.125,25.637075725,11,6,7,9.1525,0.8125,0.74125,0.88375,3,5.13533362315867
2016-06-05,169921,47975,0.282337086057639,37.96,90.28,47.975,1,-0.1635807756,0.6061945652,0.452,28.758,24.226,33.292,0,71.53,32.4,26.52425882,14,6,1,9.066,0.631,0.628,0.636,3,5.13533362315867
2016-06-06,169921,47975,0.282337086057639,37.96,90.28,47.975,1,-0.1635807756,0.6061945652,0.506,27.85625,24.48625,31.22875,0,75.475,31,26.0545364875,4,6,2,6.7425,-0.57625,-1.30625,0.15375,3,5.13533362315867
2016-06-07,169921,47975,0.282337086057639,37.96,90.28,47.975,1,-0.1635807756,0.6061945652,0.27,25.5255555555556,21.7966666666667,29.2522222222222,0,83.4244444444444,27,24.5204492555556,11,6,3,7.45555555555556,-1.28555555555556,-1.09444444444444,-1.47888888888889,3,5.13533362315867
2016-06-08,169921,47975,0.282337086057639,37.96,90.28,47.975,1,-0.1635807756,0.6061945652,0.338,25.742,19.57,31.914,0,66.406,26.6,23.6655597,13,6,4,12.344,0.11,1.341,-1.12,3,5.13533362315867
2016-06-09,169921,47975,0.282337086057639,37.96,90.28,47.975,1,-0.1635807756,0.6061945652,0.298,22.605,15.06875,30.14,0,57.42,22.5,20.7065134375,6,6,5,15.07125,-1.93125,-1.11125,-2.75125,3,5.13533362315867
2016-06-10,169921,47975,0.282337086057639,37.96,90.28,47.975,1,-0.1635807756,0.6061945652,0.246,23.2911111111111,17.7877777777778,28.7911111111111,0,58.15,23,21.2670171222222,6,6,6,11.0033333333333,0.342222222222222,-0.795555555555556,1.47888888888889,3,5.13533362315867
2016-06-11,169921,47975,0.282337086057639,37.96,90.28,47.975,1,-0.1635807756,0.6061945652,0.484,24.4144444444444,19.1222222222222,29.7077777777778,0,56.9633333333333,24.2222222222222,22.0673495722222,9,6,7,10.5855555555556,0.632222222222222,0.497777777777778,0.768888888888889,3,5.13533362315867
2016-06-12,169921,47975,0.282337086057639,37.96,90.28,47.975,1,-0.1635807756,0.6061945652,0.292,27.0622222222222,23.0444444444444,31.0866666666667,0,73.9733333333333,29,25.2621537444444,7,6,1,8.04222222222222,1.46555555555556,0.821111111111111,2.11222222222222,3,5.13533362315867
2016-06-13,169921,47975,0.282337086057639,37.96,90.28,47.975,1,-0.1635807756,0.6061945652,0.386,28.4588888888889,21.9044444444444,35.0177777777778,0,63.6433333333333,30.5555555555556,25.6686653722222,10,6,2,13.1133333333333,0.787777777777778,2.15,-0.575555555555556,3,5.13533362315867
2016-06-14,169921,47975,0.282337086057639,37.96,90.28,47.975,1,-0.1635807756,0.6061945652,0.444,23.9175,17.8,30.03625,0,50.26,23.875,21.3406934875,7,6,3,12.23625,-2.8575,-3.18875,-2.5275,3,5.13533362315867
2016-06-15,169921,47975,0.282337086057639,37.96,90.28,47.975,1,-0.1635807756,0.6061945652,0.56,27.4255555555556,22.8355555555556,32.01,0,76.22,30.2222222222222,25.7322316888889,12,6,4,9.17444444444445,1.94,1.15111111111111,2.72444444444444,3,5.13533362315867
2016-06-16,169921,47975,0.282337086057639,37.96,90.28,47.975,1,-0.1635807756,0.6061945652,0.45,27.1822222222222,22.7533333333333,31.6144444444444,0,80.4466666666667,30.2222222222222,25.8182632888889,10,6,5,8.86111111111111,-0.117777777777778,-0.2,-0.0311111111111111,3,5.13533362315867
2016-06-17,169921,47975,0.282337086057639,37.96,90.28,47.975,1,-0.1635807756,0.6061945652,0.512,28.79875,24.04875,33.55375,0,72.54,32.75,26.63921260625,9,6,6,9.505,1.02125,1.2325,0.81125,3,5.13533362315867
2016-06-18,169921,47975,0.282337086057639,37.96,90.28,47.975,1,-0.1635807756,0.6061945652,0.522,26.606,20.434,32.78,0,70.002,28.2,24.60739185,4,6,7,12.346,-1.099,-0.375,-1.824,3,5.13533362315867
2016-06-19,169921,47975,0.282337086057639,37.96,90.28,47.975,1,-0.1635807756,0.6061945652,0.482,23.3675,18.1775,28.555,0,64.1325,23.25,21.618075125,9,6,1,10.3775,-2.03125,-2.6825,-1.38375,3,5.13533362315867
2016-06-20,169921,47975,0.282337086057639,37.96,90.28,47.975,1,-0.1635807756,0.6061945652,0.442,21.2088888888889,14.5011111111111,27.9188888888889,0,63.2244444444445,21,19.8517839333333,9,6,2,13.4177777777778,-1.18111111111111,-0.315555555555556,-2.04333333333333,3,5.13533362315867
2016-06-21,169921,47975,0.282337086057639,37.96,90.28,47.975,1,-0.1635807756,0.6061945652,0.494,24.692,18.936,30.448,0,52.49,24.6,22.02744272,9,6,3,11.512,1.731,1.264,2.197,3,5.13533362315867
2016-06-22,169921,47975,0.282337086057639,37.96,90.28,47.975,1,-0.1635807756,0.6061945652,0.482,26.7688888888889,22.9855555555556,30.55,0,62.8133333333333,28,24.2593860444444,13,6,4,7.56444444444445,1.15555555555556,0.0688888888888889,2.24111111111111,3,5.13533362315867
2016-06-23,169921,47975,0.282337086057639,37.96,90.28,47.975,1,-0.1635807756,0.6061945652,0.374,29.124,24.798,33.452,0,64.002,31.8,26.22561935,11,6,5,8.654,1.176,1.44,0.914,3,5.13533362315867
2016-06-24,169921,47975,0.282337086057639,37.96,90.28,47.975,1,-0.1635807756,0.6061945652,0.432,28.6288888888889,23.0377777777778,34.2233333333333,0,64.8444444444445,31,25.8967574111111,9,6,6,11.1855555555556,-0.285555555555556,0.373333333333333,-0.943333333333333,3,5.13533362315867
2016-06-25,169921,47975,0.282337086057639,37.96,90.28,47.975,1,-0.1635807756,0.6061945652,0.25,26.5775,21.2925,31.8675,0,77.13875,28.5,25.05871329375,18,6,7,10.575,-1.25625,-1.4075,-1.10375,3,5.13533362315867
2016-06-26,169921,47975,0.282337086057639,37.96,90.28,47.975,1,-0.1635807756,0.6061945652,0.296,26.2655555555556,21.0255555555556,31.5044444444444,0,78.1144444444445,28.2222222222222,24.8477978833333,9,6,1,10.4788888888889,-0.175555555555556,-0.155555555555556,-0.198888888888889,3,5.13533362315867
2016-06-27,169921,47975,0.282337086057639,37.96,90.28,47.975,1,-0.1635807756,0.6061945652,0.266,25.434,21.354,29.516,0,77.538,26.4,24.08236422,13,6,2,8.162,-0.425,-1.038,0.189,3,5.13533362315867
2016-06-28,169921,47975,0.282337086057639,37.96,90.28,47.975,1,-0.1635807756,0.6061945652,0.354,26.1714285714286,21.9028571428571,30.4371428571429,0,73.5914285714286,28,24.4759390142857,8,6,3,8.53428571428572,0.531428571428571,0.621428571428571,0.438571428571429,3,5.13533362315867
2016-06-29,169921,47975,0.282337086057639,37.96,90.28,47.975,1,-0.1635807756,0.6061945652,0.514,26.1575,22.33875,29.98,0,81.94625,28.125,24.99981799375,9,6,4,7.64125,0.0075,-0.22625,0.24375,3,5.13533362315867
